CEI,VTCT,2838785,7862544894,0.864
PFO,LCPH,2835643,7865380537,0.865
ROV,URRP,2834417,7868214954,0.865
MDC,WAMM,2827216,7871042170,0.865
CJJ,RKTU,2814909,7873857079,0.866
SZB,WMSA,2813650,7876670729,0.866
ACC,DGAA,2813125,7879483854,0.866
HBA,YMHB,2802091,7882285945,0.867
ATQ,VIAR,2797855,7885083800,0.867
WEH,ZSWH,2793882,7887877682,0.867
DJJ,WAJJ,2760181,7890637863,0.868
CLJ,LRCL,2754203,7893392066,0.868
LPB,SLLP,2753575,7896145641,0.868
DYG,ZGDY,2748004,7898893645,0.868
MID,MMMD,2734840,7901628485,0.869
DBV,LDDU,2729472,7904357957,0.869
XUZ,ZSXZ,2728197,7907086154,0.869
BAQ,SKBQ,2720493,7909806647,0.87
DTM,EDLW,2720203,7912526850,0.87
AUA,TNCA,2714119,7915240969,0.87
BJX,MMLO,2691570,7917932539,0.871
HUZ,ZGHZ,2686863,7920619402,0.871
BDS,LIBR,2652033,7923271435,0.871
IEV,UKKK,2628973,7925900408,0.871
PSP,KPSP,2627646,7928528054,0.872
KUF,UWWW,2626652,7931154706,0.872
BMA,ESSB,2615410,7933770116,0.872
KMI,RJFM,2612574,7936382690,0.873
MYR,KMYR,2584760,7938967450,0.873
ROC,KROC,2581217,7941548667,0.873
SYR,KSYR,2568727,7944117394,0.873
ORK,EICK,2560180,7946677574,0.874
UFA,UWUU,2557631,7949235205,0.874
IXR,VERC,2550420,7951785625,0.874
YTY,ZSYA,2549626,7954335251,0.875
DSS,GOBD,2543807,7956879058,0.875
UTH,VTUD,2540981,7959420039,0.875
KLO,RPVK,2537394,7961957433,0.875
VTE,VLVT,2522633,7964480066,0.876
GSP,KGSP,2517880,7966997946,0.876
KHG,ZWSH,2512387,7969510333,0.876
CBB,SLCB,2511241,7972021574,0.876
HPH,VVCI,2508772,7974530346,0.877
HLD,ZBLA,2502814,7977033160,0.877
NAN,NFFN,2483476,7979516636,0.877
BHD,EGAC,2481005,7981997641,0.878
TYS,KTYS,2461754,7984459395,0.878
MYY,WBGR,2459291,7986918686,0.878
YCU,ZBYC,2433573,7989352259,0.878
ABZ,EGPD,2431143,7991783402,0.879
CUL,MMCL,2420469,7994203871,0.879
LEJ,EDDP,2420264,7996624135,0.879
ISG,ROIG,2419903,7999044038,0.879
ZQN,NZQN,2414880,8001458918,0.88
GZT,LTAJ,2410416,8003869334,0.88
BHY,ZGBH,2408445,8006277779,0.88
NYO,ESKN,2407717,8008685496,0.88
DSN,ZBDS,2403087,8011088583,0.881
UYN,ZLYL,2390163,8013478746,0.881
BGI,TBPB,2388028,8015866774,0.881
IKT,UIII,2381899,8018248673,0.882
RUN,FMEE,2371229,8020619902,0.882
TKG,WIAT,2353287,8022973189,0.882
MRV,URMM,2345791,8025318980,0.882
GIZ,OEGN,2335100,8027654080,0.883
RPR,VARP,2334958,8029989038,0.883
KJA,UNKL,2332943,8032321981,0.883
IXC,VICG,2325003,8034646984,0.883
KRL,ZWKL,2321679,8036968663,0.884
SKP,LWSK,2320901,8039289564,0.884
CJC,SCCF,2320772,8041610336,0.884
MSN,KMSN,2307681,8043918017,0.884
IGU,SBFI,2302212,8046220229,0.885
NAT,SBSG,2300168,8048520397,0.885
DAR,HTDA,2286669,8050807066,0.885
CGY,RPMY,2284675,8053091741,0.885
ABJ,DIAP,2284119,8055375860,0.886
ASB,UTAA,2282769,8057658629,0.886
SMR,SKSM,2274915,8059933544,0.886
PPS,RPVP,2269295,8062202839,0.886
USM,VTSM,2269030,8064471869,0.887
TOS,ENTC,2265899,8066737768,0.887
KGD,UMKK,2253266,8068991034,0.887
PNS,KPNS,2251337,8071242371,0.887
YLW,CYLW,2242616,8073484987,0.888
ANF,SCFA,2241368,8075726355,0.888
BRE,EDDW,2236196,8077962551,0.888
PTP,TFFR,2235974,8080198525,0.888
PIE,KPIE,2231653,8082430178,0.889
KOE,WATT,2230839,8084661017,0.889
CHQ,LGSA,2227550,8086888567,0.889
MDZ,SAME,2227152,8089115719,0.889
PRN,BKPR,2226110,8091341829,0.89
KBL,OAKB,2224128,8093565957,0.89
KGS,LGKO,2215082,8095781039,0.89
PWM,KPWM,2215027,8097996066,0.89
JTR,LGSR,2207917,8100203983,0.891
LIT,KLIT,2205613,8102409596,0.891
ASR,LTAU,2202432,8104612028,0.891
HBE,HEBA,2190190,8106802218,0.891
LYI,ZSLY,2169840,8108972058,0.892
DRW,YPDN,2169007,8111141065,0.892
LAD,FNLU,2161155,8113302220,0.892
GSO,KGSO,2157064,8115459284,0.892
TRF,ENTO,2153760,8117613044,0.892
LUM,ZPLX,2149261,8119762305,0.893
BAV,ZBOW,2139843,8121902148,0.893
