IATACode, 2019Passengers 
VGA," 1,271,555 "
AVV," 1,265,358 "
ZNZ," 1,263,011 "
GRX," 1,262,492 "
PLS," 1,262,225 "
HYN," 1,255,002 "
NRN," 1,254,766 "
TGD," 1,252,937 "
ULN," 1,246,513 "
PPT," 1,243,885 "
IAS," 1,240,355 "
AWZ," 1,238,411 "
ECP," 1,234,211 "
MPM," 1,232,427 "
BDQ," 1,232,277 "
BTU," 1,229,762 "
YQR," 1,229,524 "
LSC," 1,220,117 "
VSA," 1,215,957 "
HTY," 1,214,601 "
MGA," 1,214,581 "
AOJ," 1,214,408 "
BSD," 1,210,939 "
ACX," 1,205,900 "
KDI," 1,198,902 "
BES," 1,197,308 "
EUG," 1,192,201 "
OMS," 1,192,174 "
ITO," 1,187,361 "
UUS," 1,184,266 "
LIR," 1,181,775 "
VOG," 1,179,726 "
SGF," 1,178,763 "
MXL," 1,177,207 "
DAT," 1,173,919 "
SDR," 1,172,230 "
FAI," 1,169,546 "
UDI," 1,169,378 "
KUN," 1,168,492 "
HRE," 1,168,372 "
ZAM," 1,162,810 "
MUX," 1,157,255 "
THE," 1,154,278 "
FSD," 1,154,197 "
OAX," 1,152,717 "
YKS," 1,148,210 "
IQT," 1,146,621 "
QRO," 1,145,740 "
SJJ," 1,143,495 "
XIC," 1,140,677 "
EOH," 1,131,268 "
TIF," 1,125,065 "
AES," 1,124,567 "
JAN," 1,119,722 "
NQN," 1,117,685 "
AJU," 1,115,068 "
XRY," 1,114,839 "
BIQ," 1,111,991 "
SDK," 1,106,751 "
KIJ," 1,104,828 "
TNR," 1,103,835 "
LLA," 1,103,607 "
CHA," 1,101,908 "
SAP," 1,101,331 "
TAB," 1,096,519 "
KRY," 1,094,782 "
OUL," 1,093,973 "
DUD," 1,090,471 "
RBA," 1,089,825 "
MLG," 1,087,298 "
RMU," 1,083,721 "
ILM," 1,082,617 "
KKJ," 1,080,825 "
NSN," 1,079,772 "
BTJ," 1,079,060 "
NNY," 1,072,135 "
KRS," 1,071,879 "
WXN," 1,069,296 "
MDG," 1,067,853 "
PIU," 1,067,072 "
CUC," 1,065,419 "
MFR," 1,062,178 "
ACY," 1,060,399 "
TBZ," 1,057,353 "
TIV," 1,054,614 "
OGU," 1,052,521 "
LBB," 1,046,011 "
MZT," 1,044,111 "
ASJ," 1,043,927 "
SPN," 1,043,699 "
DLA," 1,038,356 "
ANU," 1,034,671 "
VGO," 1,032,759 "
GES," 1,032,700 "
MTR," 1,032,101 "
ZCO," 1,025,160 "
TGG," 1,024,693 "
NKM," 1,024,524 "
RMF," 1,019,071 "
FIH," 1,016,649 "
TJQ," 1,007,155 "
CGD," 1,006,418 "
REU," 1,004,607 "
TGO," 1,001,010 "
WDH," 999,689 "
EXT," 996,900 "
ERZ," 994,214 "
JNG," 993,204 "
LDB," 988,451 "
CZL," 987,089 "
EYW," 986,264 "
INN," 985,984 "
SBA," 985,869 "
USH," 983,676 "
LAP," 983,159 "
AOR," 974,814 "
IZO," 973,545 "
TIR," 971,805 "
YXX," 962,436 "
UME," 959,678 "
BFJ," 959,077 "
FAR," 957,473 "
RDM," 956,360 "
KYA," 955,539 "
THD," 955,462 "
NAO," 954,216 "
SPR," 954,215 "
DNH," 950,844 "
LPQ," 944,873 "
GOJ," 942,612 "
BIL," 941,846 "
FMO," 940,753 "
MWX," 939,741 "
TEN," 930,537 "
LEI," 928,405 "
MMK," 926,969 "
INV," 925,209 "
LUN," 915,717 "
ARI," 913,715 "
RAO," 913,330 "
BKO," 913,187 "
HRK," 911,348 "
PHC," 910,967 "
TUC," 910,764 "
TPP," 910,740 "
TTN," 910,649 "
MSO," 908,007 "
MKY," 906,172 "
ABE," 903,465 "
HDG," 902,149 "
EZS," 900,408 "
KUT," 900,163 "
BMV," 898,666 "
TTE," 895,797 "
JAC," 895,402 "
DQA," 893,819 "
HEH," 893,418 "
HNY," 887,041 "
SKT," 884,346 "
GRZ," 881,918 "
PSC," 880,475 "
BKS," 880,248 "
BDA," 873,961 "
RIZ," 873,815 "
VCL," 873,422 "
SCO," 872,094 "
YBP," 869,748 "
LFW," 862,875 "
RNS," 861,410 "
HUX," 860,790 "
YHM," 860,572 "
MLM," 857,581 "
PKY," 856,734 "
ELS," 854,906 "
YQT," 851,812 "
IOM," 849,169 "
JRO," 848,692 "
CAK," 842,338 "
FSZ," 839,794 "
AGU," 837,393 "
NUX," 835,447 "
LBV," 832,194 "
TLH," 831,149 "
NBE," 830,351 "
ACA," 827,914 "
AKJ," 827,253 "
SBN," 827,110 "
GZP," 827,060 "
TXN," 825,185 "
CIH," 821,137 "
FWA," 820,502 "
IXL," 820,465 "
DOY," 820,447 "
IBR," 816,900 "
JNU," 816,577 "
MFE," 814,725 "
NDR," 812,791 "
KIH," 811,441 "
JGS," 808,937 "
SRI," 803,564 "
JMU," 800,260 "
FUO," 800,211 "
HSG," 800,009 "
BSR," 799,718 "
DGT," 798,817 "
BTR," 798,563 "
GCI," 796,222 "
NOC," 792,683 "
ATW," 792,300 "
TIP," 792,284 "
HLH," 791,917 "
IFN," 785,787 "
SYM," 785,174 "
KUH," 782,914 "
ZAD," 781,522 "
